dataset,mode,role,lambda,n_budget_type,n_budget,n_star,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3054773869346734,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.31040201005025125,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.31532663316582915,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.32025125628140705,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.32517587939698495,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.33010050251256284,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.33502512562814074,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.33994974874371864,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3448743718592965,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3497989949748744,observed_max,50.0,5,,,N95,22.0,0.22727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3547236180904523,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3596482412060302,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.36457286432160807,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.36949748743718597,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.37442211055276386,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3793467336683417,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3842713567839196,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3891959798994975,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3941206030150754,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3990452261306533,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4039698492462312,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.4088944723618091,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.41381909547738693,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.41874371859296483,observed_max,50.0,6,,,N95,22.0,0.2727272727272727,,,True,True,False
