bootstrap,N,C
14,39,0.9916
14,40,0.9911
14,41,0.9915
14,42,0.9912
14,43,0.9912
14,44,0.9915
14,45,0.9911
14,46,0.9909
14,47,0.9908
14,48,0.9906
14,49,0.9908
14,50,0.9913
15,2,0.9512
15,3,0.98
15,4,0.982
15,5,0.9848
15,6,0.9863
15,7,0.9877
15,8,0.9897
15,9,0.9898
15,10,0.99
15,11,0.9901
15,12,0.9897
15,13,0.9914
15,14,0.9906
15,15,0.9906
15,16,0.9912
15,17,0.9912
15,18,0.9905
15,19,0.9905
15,20,0.9902
15,21,0.9908
15,22,0.9902
15,23,0.9915
15,24,0.9912
15,25,0.9914
15,26,0.9908
15,27,0.9912
15,28,0.9907
15,29,0.9914
15,30,0.9916
15,31,0.9909
15,32,0.9918
15,33,0.9918
15,34,0.9919
15,35,0.9923
15,36,0.992
15,37,0.9913
15,38,0.9918
15,39,0.9912
15,40,0.9923
15,41,0.9922
15,42,0.9924
15,43,0.9921
15,44,0.9923
15,45,0.9922
15,46,0.9923
15,47,0.9926
15,48,0.9927
15,49,0.9927
15,50,0.9929
16,2,0.9546
16,3,0.9772
16,4,0.9812
16,5,0.9853
16,6,0.9853
16,7,0.9875
16,8,0.9881
16,9,0.9882
16,10,0.9883
16,11,0.9884
16,12,0.988
16,13,0.9896
16,14,0.9894
16,15,0.9901
16,16,0.9907
16,17,0.9903
16,18,0.9909
16,19,0.9902
16,20,0.9915
16,21,0.9905
16,22,0.9907
16,23,0.9902
16,24,0.9905
16,25,0.9903
16,26,0.9908
16,27,0.9912
16,28,0.9916
16,29,0.9916
16,30,0.9915
16,31,0.9904
16,32,0.9913
16,33,0.9907
16,34,0.9912
16,35,0.9906
16,36,0.9914
16,37,0.9909
16,38,0.991
16,39,0.9912
16,40,0.9912
16,41,0.9918
16,42,0.9921
16,43,0.9919
16,44,0.9918
16,45,0.9916
16,46,0.9916
16,47,0.9914
16,48,0.9912
16,49,0.9916
16,50,0.9914
17,2,0.9504
17,3,0.9799
17,4,0.9847
17,5,0.9868
17,6,0.9866
17,7,0.988
17,8,0.9885
17,9,0.9887
17,10,0.9896
17,11,0.9905
17,12,0.9909
17,13,0.9921
17,14,0.9909
17,15,0.9916
17,16,0.9906
17,17,0.9908
17,18,0.9912
17,19,0.9912
17,20,0.9911
17,21,0.9916
17,22,0.9927
17,23,0.992
17,24,0.9918
17,25,0.9914
17,26,0.9915
17,27,0.9918
17,28,0.9915
17,29,0.9923
17,30,0.9927
17,31,0.9929
17,32,0.9921
17,33,0.9925
17,34,0.992
17,35,0.9928
17,36,0.9922
17,37,0.9926
17,38,0.9922
17,39,0.992
17,40,0.9921
17,41,0.9917
17,42,0.992
17,43,0.9918
17,44,0.992
17,45,0.9921
17,46,0.9922
17,47,0.9922
17,48,0.9921
17,49,0.9923
17,50,0.992
18,2,0.9564
18,3,0.9761
18,4,0.9798
18,5,0.9837
18,6,0.9844
18,7,0.9854
18,8,0.9866
18,9,0.9873
18,10,0.9868
18,11,0.9874
18,12,0.9866
18,13,0.987
18,14,0.9876
18,15,0.9876
18,16,0.988
18,17,0.9884
18,18,0.9891
18,19,0.9898
18,20,0.9896
18,21,0.9891
18,22,0.9892
18,23,0.9895
18,24,0.9899
18,25,0.989
18,26,0.9897
18,27,0.9903
18,28,0.9904
18,29,0.9902
18,30,0.9906
18,31,0.9906
18,32,0.9908
18,33,0.9903
18,34,0.9907
18,35,0.9896
18,36,0.9906
18,37,0.9905
18,38,0.9909
18,39,0.9912
18,40,0.991
18,41,0.9911
18,42,0.9914
18,43,0.991
18,44,0.991
18,45,0.9912
18,46,0.9913
18,47,0.9916
18,48,0.9915
18,49,0.9918
18,50,0.9919
19,2,0.9613
19,3,0.9826
19,4,0.9859
19,5,0.9877
19,6,0.9886
19,7,0.9897
19,8,0.9898
19,9,0.9903
19,10,0.9907
19,11,0.9909
19,12,0.9918
19,13,0.9921
19,14,0.9925
19,15,0.9918
19,16,0.992
19,17,0.9915
19,18,0.9923
19,19,0.9923
19,20,0.9926
19,21,0.992
19,22,0.9924
19,23,0.9927
19,24,0.993
19,25,0.9936
19,26,0.9934
19,27,0.9935
19,28,0.9932
19,29,0.9936
19,30,0.9934
19,31,0.9931
19,32,0.9927
19,33,0.9929
19,34,0.9929
19,35,0.9935
19,36,0.9933
19,37,0.9941
19,38,0.9934
19,39,0.9935
19,40,0.9932
19,41,0.9932
19,42,0.9929
19,43,0.9932
19,44,0.9932
19,45,0.9929
19,46,0.9929
19,47,0.9935
19,48,0.9935
19,49,0.9934
19,50,0.9936
20,2,0.9571
20,3,0.9793
20,4,0.9825
20,5,0.9844
20,6,0.9857
20,7,0.9872
20,8,0.9864
20,9,0.9872
20,10,0.9883
20,11,0.9887
20,12,0.9884
20,13,0.9873
20,14,0.9879
20,15,0.9879
20,16,0.9886
20,17,0.9884
20,18,0.9891
20,19,0.989
20,20,0.9889
20,21,0.9893
20,22,0.9889
20,23,0.9889
