lambda,N_star,U_star
0.5960301507537689,9,0.4720356325467756
0.6009547738693468,9,0.4774229938139188
0.6058793969849247,9,0.48281035508106174
0.6108040201005025,9,0.48819771634820475
0.6157286432160805,9,0.4935850776153479
0.6206532663316583,9,0.498972438882491
0.6255778894472362,10,0.5044260546295122
0.6305025125628141,10,0.5099713798246035
0.635427135678392,10,0.5155167050196949
0.6403517587939699,10,0.5210620302147861
0.6452763819095477,10,0.5266073554098776
0.6502010050251257,10,0.532152680604969
0.6551256281407035,10,0.5376980058000602
0.6600502512562815,10,0.5432433309951517
0.6649748743718593,10,0.548788656190243
0.6698994974874373,10,0.5543339813853344
0.6748241206030151,10,0.5598793065804256
0.679748743718593,10,0.5654246317755169
0.6846733668341709,10,0.5709699569706085
0.6895979899497487,10,0.5765152821656997
0.6945226130653267,10,0.5820606073607911
0.6994472361809045,10,0.5876059325558824
0.7043718592964825,12,0.5932808479968387
0.7092964824120603,12,0.5991067396358263
0.7142211055276382,12,0.6049326312748139
0.7191457286432161,12,0.6107585229138017
0.724070351758794,12,0.6165844145527893
0.7289949748743719,12,0.6224103061917771
0.7339195979899498,12,0.6282361978307646
0.7388442211055277,12,0.6340620894697524
0.7437688442211056,12,0.63988798110874
0.7486934673366834,12,0.6457138727477276
0.7536180904522614,12,0.6515397643867153
0.7585427135678392,12,0.657365656025703
0.7634673366834172,12,0.6631915476646908
0.768391959798995,12,0.6690174393036784
0.773316582914573,12,0.674843330942666
0.7782412060301508,12,0.6806692225816536
0.7831658291457286,12,0.6864951142206412
0.7880904522613066,12,0.6923210058596291
0.7930150753768844,12,0.6981468974986167
0.7979396984924624,12,0.7039727891376044
0.8028643216080402,14,0.7099108707147425
0.8077889447236182,14,0.7159828032008191
0.812713567839196,14,0.7220547356868956
0.8176381909547739,14,0.7281266681729721
0.8225628140703518,14,0.7341986006590486
0.8274874371859297,14,0.7402705331451251
0.8324120603015076,14,0.7463424656312018
0.8373366834170854,14,0.7524143981172783
0.8422613065326634,16,0.7587194936770648
0.8471859296482412,16,0.7650266657062009
0.8521105527638191,16,0.7713338377353371
0.857035175879397,16,0.7776410097644735
0.8619597989949749,18,0.784120756978271
0.8668844221105528,18,0.7906574464310706
0.8718090452261307,18,0.7971941358838701
0.8767336683417086,18,0.8037308253366697
0.8816582914572865,18,0.8102675147894691
0.8865829145728643,22,0.8169443733629758
0.8915075376884423,22,0.8239262102722074
0.8964321608040201,22,0.8309080471814387
0.9013567839195981,22,0.8378898840906704
0.9062814070351759,22,0.8448717209999018
0.9112060301507539,22,0.8518535579091334
0.9161306532663317,22,0.8588353948183649
0.9210552763819095,22,0.8658172317275963
0.9259798994974875,22,0.8727990686368279
0.9309045226130653,22,0.8797809055460594
0.9358291457286433,32,0.88774682273449
0.9407537688442211,32,0.8957863001886048
0.9456783919597991,32,0.9038257776427198
0.9506030150753769,32,0.9118652550968345
