lambda,N_star,U_star
0.5960301507537689,13,0.41007728575861946
0.6009547738693468,13,0.4156137138847763
0.6058793969849247,13,0.4211501420109329
0.6108040201005025,13,0.4266865701370896
0.6157286432160805,14,0.4323619995309845
0.6206532663316583,14,0.43805950022094087
0.6255778894472362,14,0.4437570009108973
0.6305025125628141,14,0.44945450160085376
0.635427135678392,14,0.45515200229081026
0.6403517587939699,14,0.46084950298076666
0.6452763819095477,15,0.4665836425384954
0.6502010050251257,15,0.47243405893665535
0.6551256281407035,15,0.47828447533481533
0.6600502512562815,15,0.48413489173297547
0.6649748743718593,15,0.4899853081311354
0.6698994974874373,15,0.4958357245292954
0.6748241206030151,15,0.5016861409274553
0.679748743718593,16,0.5076509193622047
0.6846733668341709,16,0.5136470596813809
0.6895979899497487,16,0.5196432000005571
0.6945226130653267,16,0.5256393403197334
0.6994472361809045,17,0.531679248862491
0.7043718592964825,17,0.5378165120558616
0.7092964824120603,17,0.543953775249232
0.7142211055276382,17,0.5500910384426025
0.7191457286432161,18,0.5562617784035709
0.724070351758794,18,0.5625362284268781
0.7289949748743719,18,0.5688106784501854
0.7339195979899498,18,0.5750851284734926
0.7388442211055277,18,0.5813595784967999
0.7437688442211056,19,0.5876376832197927
0.7486934673366834,19,0.594044580926403
0.7536180904522614,19,0.6004514786330135
0.7585427135678392,19,0.6068583763396237
0.7634673366834172,20,0.6133344236558318
0.768391959798995,20,0.6198707741803016
0.773316582914573,20,0.6264071247047717
0.7782412060301508,20,0.6329434752292414
0.7831658291457286,21,0.6394936287114761
0.7880904522613066,21,0.6461558279808842
0.7930150753768844,21,0.6528180272502921
0.7979396984924624,22,0.6595662639117974
0.8028643216080402,22,0.6663524276414627
0.8077889447236182,22,0.6731385913711281
0.812713567839196,23,0.6799970739586412
0.8176381909547739,23,0.6869048655401626
0.8225628140703518,24,0.6938915453456269
0.8274874371859297,24,0.7009195477552959
0.8324120603015076,25,0.708032718423792
0.8373366834170854,25,0.7151795464591394
0.8422613065326634,26,0.7223484968654764
0.8471859296482412,26,0.7296123923784419
0.8521105527638191,26,0.7368762878914075
0.857035175879397,27,0.7442417713012484
0.8619597989949749,27,0.7516211728601766
0.8668844221105528,28,0.7591123386867631
0.8718090452261307,29,0.7666352396198932
0.8767336683417086,29,0.7742420327193659
0.8816582914572865,30,0.7819600140422616
0.8865829145728643,31,0.7896854512305428
0.8915075376884423,32,0.7975208837999124
0.8964321608040201,33,0.8055078839777885
0.9013567839195981,33,0.8135587709462185
0.9062814070351759,35,0.821744860847581
0.9112060301507539,35,0.8300138376351089
0.9161306532663317,36,0.8383403318458948
0.9210552763819095,38,0.8468411776040736
0.9259798994974875,39,0.855493796292994
0.9309045226130653,40,0.8642839197748122
0.9358291457286433,42,0.8732025236922403
0.9407537688442211,44,0.8823539795172577
0.9456783919597991,46,0.8916669258461516
0.9506030150753769,50,0.9012060301507538
