dataset,mode,role,lambda,n_budget_type,n_budget,eta,n_max,n_star,n_star_unconstrained,capacity_binds,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.24145728643216083,observed_max,50.0,0.06283038501560874,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2463819095477387,observed_max,50.0,0.06117479094431981,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.25,observed_max,50.0,0.06,50,4,4,False,4.0,5.0,N95,29.0,0.13793103448275862,0.13793103448275862,0.1724137931034483,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2513065326633166,observed_max,50.0,0.05958408318336332,50,5,5,False,4.0,5.0,N95,29.0,0.1724137931034483,0.13793103448275862,0.1724137931034483,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2562311557788945,observed_max,50.0,0.058054520494214536,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2611557788944724,observed_max,50.0,0.05658264383298056,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2660804020100503,observed_max,50.0,0.05516525023607176,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2710050251256282,observed_max,50.0,0.05379936955312441,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.275929648241206,observed_max,50.0,0.05248224367146239,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2808542713567839,observed_max,50.0,0.05121130792628377,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2857788944723618,observed_max,50.0,0.04998417443291718,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2907035175879397,observed_max,50.0,0.04879861711322384,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2956281407035176,observed_max,50.0,0.047652558218595945,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3005527638190955,observed_max,50.0,0.04654405617789667,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3054773869346734,observed_max,50.0,0.04547129462082578,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.31040201005025125,observed_max,50.0,0.044432572446171284,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.31532663316582915,observed_max,50.0,0.04342629482071713,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.32025125628140705,observed_max,50.0,0.04245096500863015,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.32517587939698495,observed_max,50.0,0.04150517694328542,50,5,5,False,,,N95,29.0,0.1724137931034483,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.33010050251256284,observed_max,50.0,0.04058760846399756,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.33502512562814074,observed_max,50.0,0.03969701514924253,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.33994974874371864,observed_max,50.0,0.03883222468588322,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3448743718592965,observed_max,50.0,0.037992131720821797,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3497989949748744,observed_max,50.0,0.03717569314753628,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3547236180904523,observed_max,50.0,0.036381923785238704,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3596482412060302,observed_max,50.0,0.03560989241302221,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.36457286432160807,observed_max,50.0,0.03485871812543073,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.36949748743718597,observed_max,50.0,0.03412756697946417,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.37442211055276386,observed_max,50.0,0.03341564890618708,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.3793467336683417,observed_max,50.0,0.03272221486289575,50,6,6,False,,,N95,29.0,0.20689655172413793,,,True,False,False
